TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,5/24/14,0:00,0:59,0.04,kWh,
Electric usage,5/24/14,1:00,1:59,0.07,kWh,
Electric usage,5/24/14,2:00,2:59,0.04,kWh,
Electric usage,5/24/14,3:00,3:59,0.04,kWh,
Electric usage,5/24/14,4:00,4:59,0.05,kWh,
Electric usage,5/24/14,5:00,5:59,0.06,kWh,
Electric usage,5/24/14,6:00,6:59,0.04,kWh,
Electric usage,5/24/14,7:00,7:59,0.04,kWh,
Electric usage,5/24/14,8:00,8:59,0.45,kWh,
Electric usage,5/24/14,9:00,9:59,0.06,kWh,
Electric usage,5/24/14,10:00,10:59,0.04,kWh,
Electric usage,5/24/14,11:00,11:59,0.04,kWh,
Electric usage,5/24/14,12:00,12:59,0.06,kWh,
Electric usage,5/24/14,13:00,13:59,0.11,kWh,
Electric usage,5/24/14,14:00,14:59,0.27,kWh,
Electric usage,5/24/14,15:00,15:59,0.46,kWh,
Electric usage,5/24/14,16:00,16:59,0.21,kWh,
Electric usage,5/24/14,17:00,17:59,0.13,kWh,
Electric usage,5/24/14,18:00,18:59,1.48,kWh,
Electric usage,5/24/14,19:00,19:59,0.05,kWh,
Electric usage,5/24/14,20:00,20:59,0.47,kWh,
Electric usage,5/24/14,21:00,21:59,0.05,kWh,
Electric usage,5/24/14,22:00,22:59,0.36,kWh,
Electric usage,5/24/14,23:00,23:59,0.07,kWh,
Electric usage,5/25/14,0:00,0:59,0.09,kWh,
Electric usage,5/25/14,1:00,1:59,0.07,kWh,
Electric usage,5/25/14,2:00,2:59,0.42,kWh,
Electric usage,5/25/14,3:00,3:59,0.07,kWh,
Electric usage,5/25/14,4:00,4:59,0.09,kWh,
Electric usage,5/25/14,5:00,5:59,0.07,kWh,
Electric usage,5/25/14,6:00,6:59,0.13,kWh,
Electric usage,5/25/14,7:00,7:59,0.31,kWh,
Electric usage,5/25/14,8:00,8:59,0.39,kWh,
Electric usage,5/25/14,9:00,9:59,0.47,kWh,
Electric usage,5/25/14,10:00,10:59,0.62,kWh,
Electric usage,5/25/14,11:00,11:59,1.05,kWh,
Electric usage,5/25/14,12:00,12:59,1.07,kWh,
Electric usage,5/25/14,13:00,13:59,0.16,kWh,
Electric usage,5/25/14,14:00,14:59,0.11,kWh,
Electric usage,5/25/14,15:00,15:59,0.12,kWh,
Electric usage,5/25/14,16:00,16:59,0.37,kWh,
Electric usage,5/25/14,17:00,17:59,2.79,kWh,
Electric usage,5/25/14,18:00,18:59,2.52,kWh,
Electric usage,5/25/14,19:00,19:59,3.44,kWh,
Electric usage,5/25/14,20:00,20:59,2.6,kWh,
Electric usage,5/25/14,21:00,21:59,2.15,kWh,
Electric usage,5/25/14,22:00,22:59,0.34,kWh,
Electric usage,5/25/14,23:00,23:59,0.13,kWh,
Electric usage,5/26/14,0:00,0:59,0.15,kWh,
Electric usage,5/26/14,1:00,1:59,0.13,kWh,
Electric usage,5/26/14,2:00,2:59,0.12,kWh,
Electric usage,5/26/14,3:00,3:59,0.14,kWh,
Electric usage,5/26/14,4:00,4:59,0.13,kWh,
Electric usage,5/26/14,5:00,5:59,0.71,kWh,
Electric usage,5/26/14,6:00,6:59,3.13,kWh,
Electric usage,5/26/14,7:00,7:59,0.84,kWh,
Electric usage,5/26/14,8:00,8:59,1.1,kWh,
Electric usage,5/26/14,9:00,9:59,1.94,kWh,
Electric usage,5/26/14,10:00,10:59,0.68,kWh,
Electric usage,5/26/14,11:00,11:59,0.98,kWh,
Electric usage,5/26/14,12:00,12:59,0.25,kWh,
Electric usage,5/26/14,13:00,13:59,0.12,kWh,
Electric usage,5/26/14,14:00,14:59,0.2,kWh,
Electric usage,5/26/14,15:00,15:59,0.28,kWh,
Electric usage,5/26/14,16:00,16:59,0.13,kWh,
Electric usage,5/26/14,17:00,17:59,0.1,kWh,
Electric usage,5/26/14,18:00,18:59,0.46,kWh,
Electric usage,5/26/14,19:00,19:59,0.09,kWh,
Electric usage,5/26/14,20:00,20:59,0.26,kWh,
Electric usage,5/26/14,21:00,21:59,0.34,kWh,
Electric usage,5/26/14,22:00,22:59,0.1,kWh,
Electric usage,5/26/14,23:00,23:59,0.08,kWh,
Electric usage,5/27/14,0:00,0:59,0.08,kWh,
Electric usage,5/27/14,1:00,1:59,0.08,kWh,
Electric usage,5/27/14,2:00,2:59,0.08,kWh,
Electric usage,5/27/14,3:00,3:59,0.08,kWh,
Electric usage,5/27/14,4:00,4:59,0.08,kWh,
Electric usage,5/27/14,5:00,5:59,0.09,kWh,
Electric usage,5/27/14,6:00,6:59,1.04,kWh,
Electric usage,5/27/14,7:00,7:59,1.29,kWh,
Electric usage,5/27/14,8:00,8:59,0.23,kWh,
Electric usage,5/27/14,9:00,9:59,0.09,kWh,
Electric usage,5/27/14,10:00,10:59,0.09,kWh,
Electric usage,5/27/14,11:00,11:59,0.09,kWh,
Electric usage,5/27/14,12:00,12:59,0.09,kWh,
Electric usage,5/27/14,13:00,13:59,0.41,kWh,
Electric usage,5/27/14,14:00,14:59,0.09,kWh,
Electric usage,5/27/14,15:00,15:59,0.09,kWh,
Electric usage,5/27/14,16:00,16:59,2.18,kWh,
Electric usage,5/27/14,17:00,17:59,3.34,kWh,
Electric usage,5/27/14,18:00,18:59,3.44,kWh,
Electric usage,5/27/14,19:00,19:59,5.36,kWh,
Electric usage,5/27/14,20:00,20:59,1.6,kWh,
Electric usage,5/27/14,21:00,21:59,1.89,kWh,
Electric usage,5/27/14,22:00,22:59,2.18,kWh,
Electric usage,5/27/14,23:00,23:59,1.69,kWh,
Electric usage,5/28/14,0:00,0:59,1.53,kWh,
Electric usage,5/28/14,1:00,1:59,1.44,kWh,
Electric usage,5/28/14,2:00,2:59,1.29,kWh,
Electric usage,5/28/14,3:00,3:59,0.52,kWh,
Electric usage,5/28/14,4:00,4:59,0.1,kWh,
Electric usage,5/28/14,5:00,5:59,0.12,kWh,
Electric usage,5/28/14,6:00,6:59,2.43,kWh,
Electric usage,5/28/14,7:00,7:59,0.1,kWh,
Electric usage,5/28/14,8:00,8:59,0.5,kWh,
Electric usage,5/28/14,9:00,9:59,0.08,kWh,
Electric usage,5/28/14,10:00,10:59,0.08,kWh,
Electric usage,5/28/14,11:00,11:59,0.08,kWh,
Electric usage,5/28/14,12:00,12:59,0.08,kWh,
Electric usage,5/28/14,13:00,13:59,0.08,kWh,
Electric usage,5/28/14,14:00,14:59,0.45,kWh,
Electric usage,5/28/14,15:00,15:59,0.09,kWh,
Electric usage,5/28/14,16:00,16:59,0.08,kWh,
Electric usage,5/28/14,17:00,17:59,0.09,kWh,
Electric usage,5/28/14,18:00,18:59,0.38,kWh,
Electric usage,5/28/14,19:00,19:59,2.1,kWh,
Electric usage,5/28/14,20:00,20:59,2.2,kWh,
Electric usage,5/28/14,21:00,21:59,2.69,kWh,
Electric usage,5/28/14,22:00,22:59,0.38,kWh,
Electric usage,5/28/14,23:00,23:59,0.11,kWh,
Electric usage,5/29/14,0:00,0:59,0.47,kWh,
Electric usage,5/29/14,1:00,1:59,0.1,kWh,
Electric usage,5/29/14,2:00,2:59,0.1,kWh,
Electric usage,5/29/14,3:00,3:59,0.1,kWh,
Electric usage,5/29/14,4:00,4:59,0.1,kWh,
Electric usage,5/29/14,5:00,5:59,0.11,kWh,
Electric usage,5/29/14,6:00,6:59,2.2,kWh,
Electric usage,5/29/14,7:00,7:59,0.14,kWh,
Electric usage,5/29/14,8:00,8:59,0.09,kWh,
Electric usage,5/29/14,9:00,9:59,0.08,kWh,
Electric usage,5/29/14,10:00,10:59,0.46,kWh,
Electric usage,5/29/14,11:00,11:59,0.08,kWh,
Electric usage,5/29/14,12:00,12:59,0.08,kWh,
Electric usage,5/29/14,13:00,13:59,0.08,kWh,
Electric usage,5/29/14,14:00,14:59,0.08,kWh,
Electric usage,5/29/14,15:00,15:59,0.08,kWh,
Electric usage,5/29/14,16:00,16:59,0.08,kWh,
Electric usage,5/29/14,17:00,17:59,0.08,kWh,
Electric usage,5/29/14,18:00,18:59,0.47,kWh,
Electric usage,5/29/14,19:00,19:59,0.6,kWh,
Electric usage,5/29/14,20:00,20:59,1.02,kWh,
Electric usage,5/29/14,21:00,21:59,0.53,kWh,
Electric usage,5/29/14,22:00,22:59,0.25,kWh,
Electric usage,5/29/14,23:00,23:59,0.1,kWh,
Electric usage,5/30/14,0:00,0:59,0.09,kWh,
Electric usage,5/30/14,1:00,1:59,0.09,kWh,
Electric usage,5/30/14,2:00,2:59,0.09,kWh,
Electric usage,5/30/14,3:00,3:59,0.08,kWh,
Electric usage,5/30/14,4:00,4:59,0.08,kWh,
Electric usage,5/30/14,5:00,5:59,0.53,kWh,
Electric usage,5/30/14,6:00,6:59,1.22,kWh,
Electric usage,5/30/14,7:00,7:59,1.9,kWh,
Electric usage,5/30/14,8:00,8:59,0.08,kWh,
Electric usage,5/30/14,9:00,9:59,0.46,kWh,
Electric usage,5/30/14,10:00,10:59,0.08,kWh,
Electric usage,5/30/14,11:00,11:59,0.08,kWh,
Electric usage,5/30/14,12:00,12:59,0.08,kWh,
Electric usage,5/30/14,13:00,13:59,0.08,kWh,
Electric usage,5/30/14,14:00,14:59,0.08,kWh,
Electric usage,5/30/14,15:00,15:59,0.08,kWh,
Electric usage,5/30/14,16:00,16:59,0.08,kWh,
Electric usage,5/30/14,17:00,17:59,0.63,kWh,
Electric usage,5/30/14,18:00,18:59,0.4,kWh,
Electric usage,5/30/14,19:00,19:59,1.69,kWh,
Electric usage,5/30/14,20:00,20:59,0.08,kWh,
Electric usage,5/30/14,21:00,21:59,0.1,kWh,
Electric usage,5/30/14,22:00,22:59,0.08,kWh,
Electric usage,5/30/14,23:00,23:59,0.08,kWh,
Electric usage,5/31/14,0:00,0:59,0.08,kWh,
Electric usage,5/31/14,1:00,1:59,0.08,kWh,
Electric usage,5/31/14,2:00,2:59,0.43,kWh,
Electric usage,5/31/14,3:00,3:59,0.09,kWh,
Electric usage,5/31/14,4:00,4:59,0.09,kWh,
Electric usage,5/31/14,5:00,5:59,0.08,kWh,
Electric usage,5/31/14,6:00,6:59,0.09,kWh,
Electric usage,5/31/14,7:00,7:59,0.15,kWh,
Electric usage,5/31/14,8:00,8:59,0.54,kWh,
Electric usage,5/31/14,9:00,9:59,1.97,kWh,
Electric usage,5/31/14,10:00,10:59,0.11,kWh,
Electric usage,5/31/14,11:00,11:59,0.34,kWh,
Electric usage,5/31/14,12:00,12:59,0.51,kWh,
Electric usage,5/31/14,13:00,13:59,0.18,kWh,
Electric usage,5/31/14,14:00,14:59,0.21,kWh,
Electric usage,5/31/14,15:00,15:59,0.38,kWh,
Electric usage,5/31/14,16:00,16:59,0.35,kWh,
Electric usage,5/31/14,17:00,17:59,0.44,kWh,
Electric usage,5/31/14,18:00,18:59,1.19,kWh,
Electric usage,5/31/14,19:00,19:59,1.31,kWh,
Electric usage,5/31/14,20:00,20:59,0.09,kWh,
Electric usage,5/31/14,21:00,21:59,0.1,kWh,
Electric usage,5/31/14,22:00,22:59,0.1,kWh,
Electric usage,5/31/14,23:00,23:59,0.59,kWh,
